domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
,THREATFOX,0.0,2025-10-30,2025-10-30,,8.155.162.23,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,8.155.162.23,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,112.3.31.155,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,103.39.19.250,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,103.44.90.86,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,103.44.90.93,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,88.218.64.49,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,175.24.191.140,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,179.43.186.214,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,124.220.76.69,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,38.85.201.33,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,79.124.77.41,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,52.54.56.239,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,217.195.153.224,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,16.64.4.25,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,154.17.1.92,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,162.252.199.16,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,162.252.199.16,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,54.178.98.33,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,54.178.98.33,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,18.178.163.94,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,18.178.163.94,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,91.217.90.45,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,91.217.90.45,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,45.145.164.234,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,45.145.164.234,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,5.180.151.9,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,5.180.151.9,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,38.162.116.86,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,38.162.116.86,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,35.91.137.33,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,35.91.137.33,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,79.124.77.41,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,79.124.77.41,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,91.92.241.37,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,91.92.241.37,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,8.130.79.38,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,8.130.79.38,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,8.130.22.97,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,8.130.22.97,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,154.26.246.191,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,154.26.246.191,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,167.17.40.170,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,93.127.160.209,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,165.154.244.221,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,102.165.46.162,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,144.124.240.154,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,144.124.240.154,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,108.181.115.243,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,108.181.115.243,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,198.252.109.34,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,198.252.109.34,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,59.110.29.198,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,59.110.29.198,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,101.42.187.238,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,101.42.187.238,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,167.172.182.247,,Intel::ADDR,
,THREATFOX,0.0,2025-10-30,2025-10-30,,167.172.182.247,,Intel::ADDR,
