domain,category,score,first_seen,last_seen,ports,ip,url,type,file_hash
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,134.209.204.199,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,134.209.227.115,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,134.209.231.5,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,13.57.214.121,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,138.122.140.200,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,138.197.152.223,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,138.68.152.76,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,139.59.119.35,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,139.59.86.13,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,139.99.74.35,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,141.95.170.136,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,142.93.43.189,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,143.110.183.13,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,143.110.186.6,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,143.110.218.178,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,144.225.6.182,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,144.31.156.249,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,144.31.203.174,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,146.190.247.117,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,147.182.167.76,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,147.182.188.236,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,148.66.142.9,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,149.118.135.252,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,149.56.143.217,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,150.136.227.229,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,151.242.43.229,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,152.32.140.20,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,152.42.136.119,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,152.42.164.200,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,152.42.186.164,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,152.42.246.190,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,154.90.70.254,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,156.227.235.77,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,157.20.189.179,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,158.51.96.38,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,159.203.120.106,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,159.223.157.84,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,159.224.132.77,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,159.65.143.47,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,159.65.58.200,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,159.65.87.181,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,160.120.191.213,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,160.187.247.143,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,161.118.212.147,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,161.35.45.184,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,161.82.146.86,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,162.0.247.102,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,163.223.9.188,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,163.61.39.40,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,163.7.4.169,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,163.7.9.194,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,164.90.178.166,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,165.22.178.87,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,165.22.205.91,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,165.227.232.1,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,165.227.232.13,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,165.232.148.95,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,167.114.147.24,,Intel::ADDR,
,Compromised-IPs,0.0,2026-07-31,2026-07-31,,168.144.144.96,,Intel::ADDR,
